path,sha1,size,file_description,source_key_timestamp,created_timestamp,modified_timestamp,modified_timestamp2,linker_timestamp,product,company,pe_sizeofimage,version_number,version,language,header_hash,pe_checksum,id,switchbackcontext
C:\Program Files\VMware\VMware Tools\zip.exe,0000b5eb01fa929d1c427ae5ed2f59a142396b183c9f,,,2017-08-03 11:34:02.263419,1601-01-01 00:00:00,1601-01-01 00:00:00,2017-03-17 05:56:35.988887,1969-12-31 19:00:00,,,,,,,,,000075a010066bb612ca7357ce31df8e9f0300000904,
C:\Program Files\VMware\VMware Tools\plugins\vmsvc\autoLogon.dll,00007518cddbeef19e6a22ed720ca08b1f19bb6466b6,,,2017-08-03 11:34:02.279043,1601-01-01 00:00:00,1601-01-01 00:00:00,2017-03-17 06:00:49.997284,1969-12-31 19:00:00,,,,,,,,,000075a010066bb612ca7357ce31df8e9f0300000904,
C:\Program Files\VMware\VMware Tools\plugins\vmsvc\autoUpgrade.dll,0000e5831b704f8cbc0135bc2d6e86c6acf937712bde,,,2017-08-03 11:34:02.263419,1601-01-01 00:00:00,1601-01-01 00:00:00,2017-03-17 06:00:55.998513,1969-12-31 19:00:00,,,,,,,,,000075a010066bb612ca7357ce31df8e9f0300000904,
C:\Program Files\VMware\VMware Tools\plugins\vmsvc\bitMapper.dll,00009990c480745b3cce4eae98b6ff2f7e295d6e3ac7,,,2017-08-03 11:34:02.279043,1601-01-01 00:00:00,1601-01-01 00:00:00,2017-03-17 06:00:59.996823,1969-12-31 19:00:00,,,,,,,,,000075a010066bb612ca7357ce31df8e9f0300000904,
C:\Program Files\VMware\VMware Tools\plugins\vmsvc\deployPkgPlugin.dll,0000ba373f9cf7492180c13c0484b34092cda2e1ad1c,,,2017-08-03 11:34:02.279043,1601-01-01 00:00:00,1601-01-01 00:00:00,2017-03-17 06:01:06.000458,1969-12-31 19:00:00,,,,,,,,,000075a010066bb612ca7357ce31df8e9f0300000904,
C:\Program Files\VMware\VMware Tools\plugins\vmusr\desktopEvents.dll,0000892f5d87ca1466cff48e8a6580ea55ce46ea95fc,,,2017-08-03 11:34:02.279043,1601-01-01 00:00:00,1601-01-01 00:00:00,2017-03-17 06:01:12.005630,1969-12-31 19:00:00,,,,,,,,,000075a010066bb612ca7357ce31df8e9f0300000904,
C:\Program Files\VMware\VMware Tools\plugins\vmsvc\disableGuestHibernate.dll,00002941d69af6eda5c8be3d98f9907c01017d013bd4,,,2017-08-03 11:34:02.279043,1601-01-01 00:00:00,1601-01-01 00:00:00,2017-03-17 06:01:16.002455,1969-12-31 19:00:00,,,,,,,,,000075a010066bb612ca7357ce31df8e9f0300000904,
C:\Program Files\VMware\VMware Tools\plugins\vmsvc\diskWiper.dll,0000ebfeb4a707b80036aba6bda6003d84739c893d79,,,2017-08-03 11:34:02.263419,1601-01-01 00:00:00,1601-01-01 00:00:00,2017-03-17 06:01:22.001124,1969-12-31 19:00:00,,,,,,,,,000075a010066bb612ca7357ce31df8e9f0300000904,
C:\Program Files\VMware\VMware Tools\plugins\vmusr\dndcp.dll,00005953b220c701d0029eaf5eec028db0dbff165ea3,,,2017-08-03 11:34:02.279043,1601-01-01 00:00:00,1601-01-01 00:00:00,2017-03-17 06:01:26.033073,1969-12-31 19:00:00,,,,,,,,,000075a010066bb612ca7357ce31df8e9f0300000904,
C:\Program Files\VMware\VMware Tools\plugins\vmsvc\grabbitmqProxy.dll,0000187595d7d675d27f79d73ff935d2dee527a9529a,,,2017-08-03 11:34:02.279043,1601-01-01 00:00:00,1601-01-01 00:00:00,2017-03-17 06:01:42.019044,1969-12-31 19:00:00,,,,,,,,,000075a010066bb612ca7357ce31df8e9f0300000904,
C:\Program Files\VMware\VMware Tools\plugins\vmsvc\guestInfo.dll,0000ba3a1f2482e08c0bdb1b94b0e01f934461006844,,,2017-08-03 11:34:02.279043,1601-01-01 00:00:00,1601-01-01 00:00:00,2017-03-17 06:01:31.975524,1969-12-31 19:00:00,,,,,,,,,000075a010066bb612ca7357ce31df8e9f0300000904,
C:\Program Files\VMware\VMware Tools\plugins\common\hgfsServer.dll,0000b2ffec4cbbd476b2489c983becddfc434838dabe,,,2017-08-03 11:34:02.279043,1601-01-01 00:00:00,1601-01-01 00:00:00,2017-03-17 06:01:35.997796,1969-12-31 19:00:00,,,,,,,,,000075a010066bb612ca7357ce31df8e9f0300000904,
C:\Program Files\VMware\VMware Tools\plugins\common\hgfsUsability.dll,000072fbb7ed0ea11a59b2deec5f2abf9ac57531abc9,,,2017-08-03 11:34:02.279043,1601-01-01 00:00:00,1601-01-01 00:00:00,2017-03-17 06:01:45.995185,1969-12-31 19:00:00,,,,,,,,,000075a010066bb612ca7357ce31df8e9f0300000904,
C:\Program Files\VMware\VMware Tools\plugins\vmsvc\hwUpgradeHelper.dll,00005acf70a1b61d7645f1b5ac6bcb2cc42cfd2a75e0,,,2017-08-03 11:34:02.279043,1601-01-01 00:00:00,1601-01-01 00:00:00,2017-03-17 06:01:54.011262,1969-12-31 19:00:00,,,,,,,,,000075a010066bb612ca7357ce31df8e9f0300000904,
C:\Program Files\VMware\VMware Tools\plugins\vmsvc\powerOps.dll,0000858f8e807f88bb535c985344b9f3bc64cd0021b4,,,2017-08-03 11:34:02.279043,1601-01-01 00:00:00,1601-01-01 00:00:00,2017-03-17 06:01:59.997182,1969-12-31 19:00:00,,,,,,,,,000075a010066bb612ca7357ce31df8e9f0300000904,
C:\Program Files\VMware\VMware Tools\plugins\vmsvc\resolutionSet.dll,0000ffc5a8786166e98f600a029636d8e930cfdb4367,,,2017-08-03 11:34:02.279043,1601-01-01 00:00:00,1601-01-01 00:00:00,2017-03-17 06:02:03.993598,1969-12-31 19:00:00,,,,,,,,,000075a010066bb612ca7357ce31df8e9f0300000904,
C:\Program Files\VMware\VMware Tools\plugins\common\thinprint.dll,00009cfd1a733016fa7ffdf9e5a1f302f8d522394e34,,,2017-08-03 11:34:02.279043,1601-01-01 00:00:00,1601-01-01 00:00:00,2017-03-17 06:02:07.996772,1969-12-31 19:00:00,,,,,,,,,000075a010066bb612ca7357ce31df8e9f0300000904,
C:\Program Files\VMware\VMware Tools\plugins\vmsvc\timeSync.dll,000003ffdbd5431238629597a30735743231a0cd898e,,,2017-08-03 11:34:02.279043,1601-01-01 00:00:00,1601-01-01 00:00:00,2017-03-17 06:02:14.000510,1969-12-31 19:00:00,,,,,,,,,000075a010066bb612ca7357ce31df8e9f0300000904,
C:\Program Files\VMware\VMware Tools\plugins\common\vix.dll,000007874fa9561d413cecda1c6d60871a83d1f2012a,,,2017-08-03 11:34:02.279043,1601-01-01 00:00:00,1601-01-01 00:00:00,2017-03-17 06:02:17.986276,1969-12-31 19:00:00,,,,,,,,,000075a010066bb612ca7357ce31df8e9f0300000904,
C:\Program Files\VMware\VMware Tools\plugins\vmsvc\vmbackup.dll,00006da458592b4881bb7852480752c83f7da409580c,,,2017-08-03 11:34:02.279043,1601-01-01 00:00:00,1601-01-01 00:00:00,2017-03-17 06:02:24.005732,1969-12-31 19:00:00,,,,,,,,,000075a010066bb612ca7357ce31df8e9f0300000904,
C:\Program Files\VMware\VMware Tools\plugins\vmusr\vmtray.dll,00004fe6f5dbcebe603afc01b9fbdded7fb9fc6086e8,,,2017-08-03 11:34:02.279043,1601-01-01 00:00:00,1601-01-01 00:00:00,2017-03-17 06:02:27.996823,1969-12-31 19:00:00,,,,,,,,,000075a010066bb612ca7357ce31df8e9f0300000904,
C:\Program Files\VMware\VMware Tools\plugins\vmusr\unity.dll,0000a4fcef526b88bb55d91fbc4a37ac7668d4368edb,,,2017-08-03 11:34:02.279043,1601-01-01 00:00:00,1601-01-01 00:00:00,2017-03-17 05:57:16.263780,1969-12-31 19:00:00,,,,,,,,,000075a010066bb612ca7357ce31df8e9f0300000904,
C:\Program Files\VMware\VMware Tools\TPAutoConnect.exe,0000c8d08dc229ec375e91e2dfbd3b181c9e1f40200e,,,2017-08-03 11:34:02.232166,1601-01-01 00:00:00,1601-01-01 00:00:00,2017-03-17 05:06:06.547306,1969-12-31 19:00:00,,,,,,,,,000075a010066bb612ca7357ce31df8e9f0300000904,
